Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
MS,55750000000,7/20/2016,4:02 PM,2.09%,28516310,14784900
MSI,11860000000,7/20/2016,4:02 PM,0.64%,978903,1779120
MUR,5270000000,7/20/2016,4:02 PM,-1.23%,2664296,3730330
MYL,23990000000,7/20/2016,4:00 PM,5.05%,5192965,4951840
NDAQ,11140000000,7/20/2016,4:00 PM,-0.48%,401931,808176
NOV,12420000000,7/20/2016,4:02 PM,-0.27%,4280078,5205870
NAVI,4750000000,7/20/2016,4:00 PM,4.36%,4388346,3009560
NTAP,7250000000,7/20/2016,4:00 PM,1.41%,1427079,3158790
NFLX,37650000000,7/20/2016,4:00 PM,2.41%,23244313,13125500
NWL,13100000000,7/20/2016,4:02 PM,1.64%,2693446,4553570
NFX,8720000000,7/20/2016,4:01 PM,1.39%,2484119,3462680
NEM,20840000000,7/20/2016,4:03 PM,-5.07%,9328327,8802250
NWSA,7240000000,7/20/2016,4:00 PM,-0.16%,1588052,2998100
NWS,7560000000,7/20/2016,4:00 PM,0.39%,1094401,861329
NEE,58700000000,7/20/2016,4:02 PM,-0.69%,1625040,1890970
NLSN,19890000000,7/20/2016,4:03 PM,1.31%,2236685,1853690
NKE,97180000000,7/20/2016,4:00 PM,0.00%,5842266,10598300
NI,8320000000,7/20/2016,4:03 PM,-0.69%,2109011,3068880
NBL,15450000000,7/20/2016,4:02 PM,-0.96%,2512099,3714020
JWN,7150000000,7/20/2016,4:02 PM,1.83%,1595148,4498340
NSC,27130000000,7/20/2016,4:00 PM,0.38%,1354397,1746770
NTRS,15170000000,7/20/2016,4:00 PM,-0.95%,2770438,1386990
NOC,40160000000,7/20/2016,4:02 PM,0.45%,1282047,957667
NRG,4620000000,7/20/2016,4:02 PM,0.20%,5167227,5391440
NUE,17200000000,7/20/2016,4:02 PM,-2.91%,5519793,2829540
NVDA,28950000000,7/20/2016,4:00 PM,1.31%,7369524,9904850
ORLY,26440000000,7/20/2016,4:00 PM,0.34%,539808,698556
OXY,58310000000,7/20/2016,4:03 PM,-0.03%,1815356,3897190
OMC,19890000000,7/20/2016,4:02 PM,0.43%,1650117,1686880
OKE,9930000000,7/20/2016,4:01 PM,-0.57%,2200080,2803160
ORCL,1.70E+11,7/20/2016,4:02 PM,0.41%,11393425,13746700
OI,2950000000,7/20/2016,4:02 PM,2.77%,871446,1865220
PCAR,19260000000,7/20/2016,4:00 PM,2.46%,2836849,2376060
PH,15240000000,7/20/2016,4:02 PM,0.62%,442348,1145280
PDCO,4730000000,7/20/2016,4:00 PM,0.16%,585744,1065840
PAYX,21810000000,7/20/2016,4:00 PM,-0.31%,2607901,2138710
PYPL,47700000000,7/20/2016,4:00 PM,1.73%,11138487,8544210
PNR,11280000000,7/20/2016,4:02 PM,0.37%,1304909,1489170
PBCT,4640000000,7/20/2016,4:00 PM,-0.65%,2844764,4520810
PEP,1.57E+11,7/20/2016,4:00 PM,-0.56%,3001525,4646620
PKI,6070000000,7/20/2016,4:02 PM,1.03%,250171,673806
